epoch,tr_p10_acc,val_p10_acc,train_loss,val_loss,tr_p5_acc,val_p5_acc,tr_p15_acc,val_p15_acc,tr_p_error,val_p_error
74,1.0,0.98,0.0,0.0,0.98,0.8,1.0,1.0,2.03,3.65
75,1.0,0.98,0.0,0.0,0.97,0.79,1.0,1.0,2.15,3.71
76,1.0,0.99,0.0,0.0,0.98,0.77,1.0,1.0,2.06,3.76
77,1.0,0.98,0.0,0.0,0.98,0.76,1.0,0.99,2.02,3.87
78,1.0,0.98,0.0,0.0,0.98,0.81,1.0,1.0,2.02,3.45
79,1.0,0.98,0.0,0.0,0.95,0.79,1.0,1.0,2.43,3.88
80,1.0,0.97,0.0,0.0,0.97,0.78,1.0,0.99,2.06,3.85
81,1.0,0.97,0.0,0.0,0.98,0.77,1.0,1.0,2.01,3.99
82,1.0,0.99,0.0,0.0,0.98,0.82,1.0,1.0,1.87,3.42
83,1.0,0.97,0.0,0.0,0.98,0.76,1.0,0.99,1.95,3.94
84,1.0,0.97,0.0,0.0,0.97,0.74,1.0,1.0,2.04,3.99
85,1.0,0.97,0.0,0.0,0.96,0.76,1.0,0.99,2.24,3.95
86,1.0,0.98,0.0,0.0,0.96,0.81,1.0,1.0,2.15,3.68
87,1.0,0.98,0.0,0.0,0.98,0.79,1.0,1.0,1.96,3.8
88,1.0,0.98,0.0,0.0,0.98,0.72,1.0,1.0,1.89,3.99
89,1.0,0.97,0.0,0.0,0.98,0.76,1.0,0.99,1.93,3.89
90,1.0,0.97,0.0,0.0,0.97,0.75,1.0,1.0,2.11,3.96
91,1.0,0.98,0.0,0.0,0.97,0.75,1.0,0.99,2.14,3.92
92,1.0,0.98,0.0,0.0,0.98,0.78,1.0,0.99,2.09,3.79
93,1.0,0.95,0.0,0.01,0.98,0.64,1.0,0.98,2.03,5.14
94,0.99,0.95,0.0,0.0,0.91,0.69,1.0,0.99,2.79,4.34
95,1.0,0.97,0.0,0.0,0.96,0.71,1.0,1.0,2.18,4.3
96,1.0,0.99,0.0,0.0,0.97,0.74,1.0,1.0,2.08,3.95
97,1.0,0.96,0.0,0.0,0.97,0.75,1.0,0.99,2.1,3.86
98,0.99,0.98,0.0,0.0,0.94,0.78,1.0,1.0,2.42,3.72
99,1.0,0.98,0.0,0.0,0.98,0.78,1.0,1.0,1.88,3.75
