Name, FLOPs, Params
cfg_3564, 0, 434530
cfg_3611, 0, 574178
cfg_3624, 0, 416498
cfg_3632, 0, 367874
cfg_3662, 0, 408626
cfg_3666, 0, 547570
cfg_3674, 0, 509802
cfg_3692, 0, 599186
cfg_3697, 0, 498794
cfg_3707, 0, 279026
cfg_3715, 0, 544434
cfg_3719, 0, 501922
cfg_3723, 0, 502418
cfg_3732, 0, 409842
cfg_3755, 0, 402018
cfg_3756, 0, 525330
cfg_3762, 0, 523034
cfg_3770, 0, 552178
cfg_3773, 0, 533682
cfg_3789, 0, 304970
cfg_3805, 0, 209650
cfg_3824, 0, 595898
cfg_3841, 0, 565218
cfg_3848, 0, 576458
cfg_3852, 0, 588578
cfg_3857, 0, 543602
cfg_3859, 0, 176962
cfg_3863, 0, 500010
cfg_3868, 0, 305074
cfg_3874, 0, 384538
cfg_3883, 0, 386978
cfg_3893, 0, 430498
cfg_3895, 0, 518874
cfg_3903, 0, 322346
cfg_3913, 0, 544522
cfg_3946, 0, 169954
cfg_3948, 0, 247986
cfg_3952, 0, 456890
cfg_3957, 0, 532514
cfg_3977, 0, 264314
cfg_3989, 0, 406818
cfg_4045, 0, 407386
cfg_4051, 0, 594018
cfg_4066, 0, 164418
cfg_4091, 0, 297202
cfg_4101, 0, 583506
cfg_4143, 0, 497266
cfg_4159, 0, 161986
cfg_4166, 0, 442522
cfg_4167, 0, 524290
cfg_4185, 0, 420266
cfg_4196, 0, 545106
cfg_4199, 0, 370042
cfg_4223, 0, 293602
cfg_4234, 0, 581898
cfg_4257, 0, 516202
cfg_4267, 0, 451010
cfg_4300, 0, 561250
cfg_4330, 0, 327138
cfg_4343, 0, 405666
cfg_4345, 0, 489642
cfg_4385, 0, 295570
cfg_4391, 0, 213138
cfg_4404, 0, 343938
cfg_4425, 0, 360410
cfg_4448, 0, 449594
cfg_4466, 0, 413466
cfg_4485, 0, 493770
cfg_4493, 0, 382866
cfg_4497, 0, 410986
cfg_4537, 0, 585218
cfg_4597, 0, 512434
cfg_4611, 0, 435802
cfg_4621, 0, 440706
cfg_4636, 0, 598306
cfg_4642, 0, 239538
cfg_4647, 0, 280946
cfg_4650, 0, 443346
cfg_4670, 0, 465906
cfg_4679, 0, 384122
cfg_4696, 0, 524114
cfg_4719, 0, 513458
cfg_4732, 0, 504162
cfg_4759, 0, 456418
cfg_4762, 0, 461810
cfg_4765, 0, 489362
cfg_4770, 0, 367050
cfg_4778, 0, 587058
cfg_4788, 0, 478570
cfg_4800, 0, 491186
cfg_4806, 0, 543202
cfg_4811, 0, 155714
cfg_4828, 0, 252066
cfg_4833, 0, 561426
cfg_4855, 0, 339978
cfg_4861, 0, 467234
cfg_4864, 0, 507618
cfg_4873, 0, 447314
cfg_4929, 0, 227778
cfg_4936, 0, 438018
cfg_4938, 0, 556154
cfg_4943, 0, 352906
