name,zcu102_75res
model_1479,20163.9269527987
model_2675,20421.8973753829
model_1131,20421.9565719855
model_1892,20421.9671992481
model_2121,20421.9678745475
model_3415,20676.9486389585
model_3327,20676.9982108048
model_3429,21018.8204678363
model_3299,21018.9027638541
model_2478,21018.9540517962
model_1188,21018.9890629351
model_3193,21339.8735519354
model_1456,21339.8981203008
model_1425,21339.9035609858
model_73,21339.9088137009
model_3440,21339.9121693122
model_1942,21339.9183618769
model_1588,21339.9201058201
model_1081,21339.9269179894
model_1314,21339.932518797
model_2314,21339.934363687
model_437,21339.9381648566
model_2746,21339.9414404066
model_196,21339.9426552492
model_123,21339.9463763576
model_565,21339.9496519075
model_3056,21339.9545913395
model_1187,21339.957842523
model_368,21339.9632762462
model_2140,21339.9697751323
model_1500,21339.9702868282
model_1805,21339.980214425
model_3333,21339.9841269841
model_3268,21339.9936229463
model_2242,21339.9962580061
model_2656,21442.8620231133
model_645,21442.9285714286
model_3426,21889.8694583681
model_415,21889.8977025898
model_586,21889.9458437761
model_501,21889.9720064049
model_2944,22388.789435394
model_1848,22388.7917467279
model_302,22388.8050438597
model_1931,22388.8066067948
model_231,22388.8187030075
model_2349,22388.8204504316
model_2736,22388.8453808131
model_876,22388.8491924255
model_692,22388.8733047898
model_402,22388.8744326093
model_2283,22388.8781954887
model_1618,22388.8810916179
model_1565,22388.8820453913
model_2632,22388.8861737678
model_2528,22388.8863130047
model_3293,22388.8870439989
model_426,22388.8877889167
model_3406,22388.8895189362
model_2552,22388.8902499304
model_1067,22388.8911828182
model_2973,22388.8924498747
model_2906,22388.8942286271
model_768,22388.8945001392
model_1448,22388.894649819
model_2917,22388.8955653021
model_2235,22388.8985414926
model_2019,22388.8987016152
model_2036,22388.9000208855
model_1804,22388.901938875
model_331,22388.9022800056
model_1729,22388.9028195489
model_2533,22388.9088311055
model_525,22388.9088624339
model_2260,22388.9088833194
model_2334,22388.9108117516
model_1208,22388.9114417989
model_2425,22388.9134502924
model_2756,22388.9179685324
model_869,22388.9203146756
model_1884,22388.9208194096
model_3259,22388.9251113896
model_98,22388.9300856307
model_668,22388.9323238652
model_3361,22388.932978279
model_1061,22388.9336779449
model_1174,22388.9383528265
model_29,22388.9394040657
model_339,22388.9395885547
model_1629,22388.942529936
model_1493,22388.9451058201
model_3090,22388.9497424116
model_2587,22388.9513157895
model_1159,22388.9514863548
model_2714,22388.9518518519
model_2282,22388.9525306321
model_2496,22388.9534217488
model_3127,22388.9548976608
model_2540,22388.9575570872
model_1261,22388.9608082707
model_2931,22388.9618769145
model_2317,22388.9625208855
model_2151,22388.9640838207
model_2168,22388.9653682818
model_511,22388.9957671958
model_3139,22574.8808966862
model_321,22574.8817703982
model_665,22574.8963450292
model_1598,22574.8973370927
model_1653,22574.8977687274
model_1994,22574.9050821498
model_844,22574.912037037
model_1699,22574.913885408
model_919,22574.9149784183
model_1523,22574.9219193818
model_1127,22574.9253968254
model_884,22574.9289264829
model_2451,22574.9304372041
model_396,22574.9310115567
model_3020,22574.9343219159
model_1600,22574.9349032303
model_3018,22574.9394040657
model_1850,22574.9397730437
model_60,22574.9408764968
model_1416,22574.9422375383
model_1502,22574.972556391
model_3063,22574.9726642996
model_3348,22574.9758354219
model_2213,22741.7987677527
model_2777,22741.8297723475
model_169,22741.8500661376
model_2832,22741.8953181565
model_3017,22741.9015629351
model_38,22741.9028091061
model_3088,22741.9160853523
model_2178,22741.9168894458
model_1906,22741.9207323865
model_836,22741.9223196881
model_1351,22741.9248886104
model_2206,22741.9288673072
model_2446,22741.9292188805
model_92,22741.9301691729
model_1969,22741.9311995266
model_1063,22741.9332045391
model_1330,22741.9432852966
model_2352,22741.9550125313
model_3313,22741.958211501
model_2984,22741.9615984405
model_1961,22741.9639167363
model_3071,22741.9772417154
model_1025,22741.9812517405
model_2403,22741.9833194096
model_1461,22741.9838589529
model_2934,22741.9888888889
model_242,22749.9879942913
model_3446,23044.7962092732
model_2682,23044.9081035923
model_3452,23044.9598614592
model_2626,23514.9234057366
model_623,23514.9345133668
model_2047,23514.9633632693
model_1499,23514.9698621554
model_403,23514.9735484545
model_2522,23514.9743943191
model_3372,23514.9791562239
model_3277,23645.8564223058
model_3285,23645.8780388471
model_1506,23645.8923175996
model_2861,23645.9120927318
model_187,23645.9209064327
model_1489,23645.9327763854
model_3103,23645.9358361181
model_2077,23645.9388749652
model_1929,23645.9433061821
model_2216,23645.9475877193
model_2422,23645.9659182679
model_1844,23645.9673837371
model_708,23645.9726817043
model_3075,23645.9762426901
model_43,23645.9786828182
model_2373,23645.9842522974
model_2693,24006.931920078
model_499,24505.8494952659
model_1440,24505.9297166527
model_2269,24690.914435394
model_912,25016.8810011139
model_2412,25016.882240323
model_1487,25016.8824665831
model_784,25016.8883597884
model_2763,25016.9054824561
model_1795,25016.936622807
model_2782,25016.946355472
model_2859,25186.9104671401
model_1022,25186.935700362
model_2440,25186.9525062657
model_69,25186.9680137845
model_838,25186.9713519911
model_52,25186.9947960178
model_762,25395.8804232804
model_2132,25395.8818017265
model_761,25395.9350703147
model_2919,25395.9363060429
model_1616,25395.9625208855
model_1128,25395.9704956837
model_1242,25395.9885721248
model_2700,25395.990497076
model_3204,25395.9911027569
model_615,25583.9209273183
model_3037,25583.9424463938
model_857,25583.9668407129
model_2066,25583.9831871345
model_1120,26272.9550194932
model_948,26336.9414055973
model_1525,26336.9598684211
model_24,26336.9792119187
model_3093,26336.9956140351
model_3305,26647.9405179616
model_1110,26647.9627227792
model_2789,26647.9652186021
model_2562,26647.971170983
model_648,26647.9746240601
model_764,26647.9760303537
model_2229,28217.8943852687
model_1287,28217.9233674464
model_473,28217.9272451964
model_1185,28570.8819722918
model_2857,29628.9880813144
model_2277,30098.7094437483
model_2739,30098.731317878
model_3238,30098.741697995
model_2634,30098.7771895015
model_99,30098.7900898079
model_2882,30098.815316068
model_2642,30098.828045809
model_2706,30098.8293546366
model_2966,30098.8378794208
model_1339,30098.8493177388
model_10,30098.8701336675
model_193,30098.8748572821
model_1919,30098.8755847953
model_2435,30098.8783486494
model_1138,30098.8876740462
model_1665,30098.889619883
model_3117,30098.8918059036
model_2105,30098.9038847118
model_2180,30098.908256753
model_575,30098.9105680869
model_1809,30098.9123816486
model_264,30098.9127680312
model_883,30098.9196463381
model_1362,30098.9228244222
model_2902,30098.9244778613
model_48,30098.925643971
model_194,30098.9280527708
model_2794,30098.9286584517
model_2549,30098.9308444723
model_1860,30098.9362399053
model_868,30098.9380012531
model_438,30098.9516917293
model_1784,30098.9682156781
model_3114,30098.9694096352
model_644,30098.9740183793
model_1662,30332.9483291562
model_699,30332.9615009747
model_3192,30332.966652743
model_1219,30332.9878794208
model_2727,31270.9003759399
model_1394,31527.8596351991
model_2173,31527.8654483431
model_2897,31527.8659913673
model_1590,31527.8779274575
model_2049,31527.8826789195
model_1269,31527.886668059
model_1660,31527.8869848232
model_2790,31527.8872076023
model_2818,31527.9043964077
model_1462,31527.9222709552
model_1681,31527.9281885269
model_2610,31527.9301587302
model_803,31527.9338798385
model_1390,31527.933949457
model_2500,31527.9438770537
model_700,31527.9479079644
model_656,31527.9541423002
model_2858,31527.957842523
model_1270,31527.9642961571
model_2035,31527.9691694514
model_1211,31527.9697263993
model_548,31527.9753863826
model_1389,31527.9762218045
model_365,31527.9798941799
model_2200,31527.9807226399
model_3096,31527.9894667224
model_1716,31527.9939397104
model_3163,31823.9454643553
model_805,32008.8285435812
model_1584,32008.8340364801
model_2905,32008.9120265943
model_772,32008.9345551378
model_2534,32008.9438109162
model_2970,32008.9451058201
model_2331,32008.9494743804
model_1520,32008.9639933166
model_3267,32673.8138436369
model_929,32673.8494256475
model_199,32673.8601260095
model_2988,32673.9008389028
model_874,32673.9185115567
model_2548,32673.9305729602
model_2831,32673.9341896408
model_1446,33581.8442878028
model_1856,33581.8491297689
model_2936,33581.8856237817
model_1473,33581.8979949875
model_1589,33581.899356029
model_2913,33581.9024157616
model_209,33581.9087545252
model_2126,33581.9145467836
model_3439,33581.9160749095
model_966,33581.9210874408
model_240,33581.9212127541
model_1041,33581.9261487051
model_3128,33581.931317878
model_2185,33581.9350459482
model_937,33581.9363130047
model_596,33581.9367794486
model_1360,33581.9391360345
model_429,33581.9517126149
model_892,33581.9543755221
model_1348,33581.9675229741
model_3146,33860.8558827625
model_3050,33860.9562238931
model_1040,33860.9732699805
model_1190,33860.9778195489
model_1810,33860.9919869117
model_810,34111.9109649123
model_2612,34111.9111494013
model_1116,34111.9306008076
model_2336,34111.9364696463
model_3288,34111.9364696463
model_1438,34111.956411863
model_2205,34111.960146895
model_2190,34111.9753167641
model_1935,34111.9799916458
model_381,34111.9879560011
model_355,35467.863377193
model_2335,35467.8669172932
model_84,35467.8894179894
model_3459,35467.903136313
model_2113,35467.9418964077
model_237,35467.9431390977
model_192,35467.9570523531
model_3378,35467.9598370927
model_977,35467.9616471735
model_3316,35467.9700675299
model_3172,35467.9887357282
model_1814,35529.9225494291
model_2158,35529.9536131997
model_66,37622.9893414091
model_1198,37622.9930451128
model_2236,38305.9369256475
model_376,38305.9476677806
model_783,39408.9056982735
model_2093,39503.9994708995
model_2994,40842.8574456976
model_165,40842.9258493456
model_667,40842.9506892231
model_3381,42035.8361528822
model_215,42035.8375765803
model_1163,42035.868264411
model_2248,42035.8867341966
model_524,42035.9112294625
model_2477,42035.9293615984
model_3360,42035.936991785
model_351,42035.9402603732
model_2339,42035.9481411863
model_1674,42035.9710456697
model_3269,42035.9958542189
model_3153,42678.7639793929
model_2138,42678.8079086605
model_2753,42678.8507623225
model_2474,42678.8529100529
model_3021,42678.8560846561
model_1283,42678.8686647174
model_2388,42678.8696637427
model_3199,42678.8808758006
model_2130,42678.8844159009
model_2398,42678.8947507658
model_829,42678.8959133946
model_2894,42678.8991924255
model_464,42678.9032442217
model_3195,42678.9059663047
model_2037,42678.9060324422
model_2712,42678.9075536062
model_2617,42678.9087928154
model_1570,42678.9158451685
model_2490,42678.9221839321
model_266,42678.9237120579
model_362,42678.9378098023
model_1124,42678.9395676692
model_731,42678.9414821777
model_2476,42678.9517021721
model_1254,42678.9604671401
model_2044,42678.9644075466
model_218,42678.9684210526
model_2866,42678.9692181843
model_1380,42678.9765490114
model_1221,43777.811991785
model_2815,44775.7210108605
model_1168,44775.7270850738
model_2376,44775.7541248956
model_777,44775.7630917572
model_441,44775.7682748538
model_40,44775.787176274
model_491,44775.8069757728
model_642,44775.8171470343
model_17,44775.8185707324
model_183,44775.8241959064
model_2452,44775.8537698413
model_2773,44775.8598092453
model_118,44775.8657790309
model_3276,44775.8665692008
model_9,44775.8709969368
model_3039,44775.8828251184
model_2341,44775.8845516569
model_397,44775.8867724868
model_425,44775.8904379003
model_1540,44775.8906084656
model_3357,44775.8936125035
model_3376,44775.9059837093
model_3098,44775.9060045948
model_748,44775.9073656363
model_2920,44775.9083228906
model_679,44775.9151420217
model_2453,44775.9220412141
model_3356,44775.9315580618
model_1608,44775.9325779727
model_3338,44775.9330931495
model_1259,44775.9355367586
model_2418,44775.9356864383
model_1095,44775.9367307157
model_1383,44775.938422445
model_1207,44775.9475041771
model_1840,44775.9480367586
model_1210,44775.9501914509
model_3065,44775.9635547201
model_1410,44775.9641081871
model_1103,44775.9662176274
model_591,44775.9680520746
model_925,44775.9734718741
model_735,44775.9735763019
model_567,44775.9850041771
model_314,44775.9886487051
model_68,44775.9951615149
model_1246,45147.9031746032
model_3016,45147.9061473127
model_1291,45481.8295565302
model_2523,45481.8418476747
model_1422,45481.9174707602
model_1986,45481.9208681426
model_203,45481.9294590643
model_632,45481.9384816207
model_380,45481.9452346143
model_3410,45481.9466966026
model_2805,45481.9532094124
model_3311,45481.9656397939
model_841,45481.9796539961
model_1372,45481.9860902256
model_625,46087.8731237817
model_2734,47290.7506996658
model_1477,47290.7975181008
model_1819,47290.8053014481
model_2788,47290.8121867168
model_2449,47290.8206105542
model_1054,47290.8271581732
model_1553,47290.8303432192
model_726,47290.8477687274
model_1706,47290.8534426344
model_2622,47290.8615392648
model_1999,47290.8632135895
model_241,47290.8703320802
model_1948,47290.8795147591
model_2103,47290.8869395712
model_848,47290.8979810638
model_1049,47290.9034670008
model_997,47290.9094472292
model_2254,47290.9174324701
model_221,47290.926984127
model_1376,47290.9275132275
model_1471,47290.9482734614
model_676,47290.9690754664
model_540,47290.9771825397
model_2030,47290.991697995
model_1150,47290.9921609579
model_3057,48012.7878794208
model_909,48012.8422131718
model_1903,48012.8812795879
model_535,48012.8974798106
model_424,48012.9486772487
model_2433,48012.961991785
model_457,50031.929149262
model_652,50371.8034252297
model_3303,50371.8630499861
model_2845,50371.8975215817
model_3368,50371.9071289334
model_620,50371.9139898357
model_2813,50371.916374269
model_2961,50371.9241854637
model_3015,50371.9333855472
model_831,50371.9374512671
model_1397,50371.9691590086
model_758,50790.8295913395
model_1725,50790.8439153439
model_94,50790.8663011696
model_336,50790.8888505987
model_2075,50790.9699422167
model_3030,52544.8667919799
model_1913,52671.844973545
model_1476,52671.866283765
model_1475,52671.8714912281
model_3270,52671.9120161515
model_1406,53201.8169312169
model_277,53201.8343915344
model_1089,53201.9663116124
model_1352,53201.9835213033
model_2852,53293.9547096909
model_1689,53293.974401281
model_2020,56321.8999721526
model_850,56321.9253968254
model_2472,56433.9348823448
model_471,59255.8764028126
model_401,59255.9587231969
model_2055,60195.8470899471
model_815,60195.9103244222
model_3244,60664.9175856307
model_2078,62539.8723614592
model_3324,63053.8140838207
model_1551,63053.8450710109
model_2085,63053.8471108326
model_2046,63053.8527708159
model_1731,63053.8546365915
model_3432,63053.8717871067
model_1155,63053.8724484823
model_3318,63053.8729775828
model_2792,63053.8904379003
model_1034,63053.8997319688
model_1626,63053.9120927318
model_1172,63053.9293511557
model_18,63053.9357108048
model_1899,63053.9458228906
model_3,63053.9466583124
model_1701,63053.9636556669
model_2288,64016.7630813144
model_1777,64016.7715225564
model_358,64016.7934106099
model_842,64016.8297758285
model_1193,64016.8431843498
model_1133,64016.8692181844
model_617,64325.7459934559
model_2553,65346.8583751044
model_2565,65346.8937482595
model_2776,65346.9661967419
model_2266,65680.9260512392
model_2316,67162.7888749652
model_3162,67162.7890977444
model_710,67162.8016081871
model_137,67162.8140838207
model_1941,67162.8312482595
model_2038,67162.846216235
model_34,67162.8573551935
model_519,67162.8725737956
model_1743,67162.8802213868
model_1042,67162.8842905876
model_2017,67162.902443609
model_3205,67162.9251670844
model_978,67162.9325744918
model_2000,67162.9335282651
model_1377,67162.9336222501
model_323,67162.9366924255
model_1526,67162.9431843498
model_1719,69130.824032303
model_2018,69130.9392787524
model_773,70934.7984126984
model_489,70934.8005778335
model_2942,70934.8155075188
model_1202,70934.8163916736
model_693,70934.8207149819
model_375,70934.8219437482
model_1661,70934.8229149262
model_249,70934.826705653
model_1876,70934.8272277917
model_230,70934.8368838764
model_2674,70934.8707463102
model_612,70934.9082184628
model_1434,70934.9159983292
model_3295,70934.9167293233
model_161,70934.9272451963
model_1698,70934.9458298524
model_1798,70934.9560080757
model_1513,72018.7544590643
model_2218,75244.8703320802
model_263,75557.8574422166
model_1305,75557.9463206628
model_1659,75557.9597883598
model_3202,76185.7781920078
model_105,76185.8698029797
model_2118,76185.8928815093
model_1633,76610.904149262
model_787,78816.8735275689
model_2823,79801.8514097744
model_778,79801.927676831
model_908,80652.9126218324
model_2230,80652.9146129212
model_1428,84070.7779831523
model_213,84070.8195941242
model_3331,84070.8243490671
model_250,84070.8363060429
model_2880,84070.8368734336
model_1900,84070.8548175996
model_1587,84070.8678884712
model_2211,84070.8906328321
model_2806,84070.891374269
model_2654,84070.8969367864
model_1285,84070.9295739348
model_2718,85355.6764967975
model_3131,85355.7655806182
model_2588,85355.7663394598
model_1316,85355.7692564745
model_1623,85355.7717070454
model_1365,85355.7729288499
model_86,85355.8088032581
model_315,85355.8202554999
model_1966,85355.8304789752
model_1346,85355.8356133389
model_3384,85355.8431947925
model_1059,85355.8432818156
model_2215,85355.8660749095
model_2838,85355.8897382345
model_1282,85355.8922862712
model_705,85355.9136243386
model_390,85355.9164021164
model_2358,85355.9453007519
model_518,89549.7573586745
model_3055,89549.7776002506
model_3023,89549.7786340852
model_1761,89549.7794138123
model_3427,89549.7847431078
model_616,89549.786347814
model_1671,89549.7882588416
model_322,89549.798614592
model_1836,89549.8087545252
model_2929,89549.8141534391
model_3286,89549.8285331384
model_2767,89549.832609301
model_2660,89549.8327659426
model_2954,89549.8585282651
model_1769,89549.870986494
model_1522,89549.9349728488
model_2950,90293.7902847396
model_1737,94579.8561438318
model_2306,96024.8494500139
model_579,96024.8523913952
model_1866,96024.8888888889
model_3121,100061.913881927
model_3232,100742.737037037
model_3304,100742.773315233
model_379,100742.780183097
model_2187,100742.827332219
model_3189,100742.856610276
model_833,100742.858653578
model_1738,100742.862204121
model_200,100742.896056112
model_3395,100742.94672445
model_605,100742.982233361
model_1574,120390.748677249
model_1880,128032.878393901
model_320,128032.87989418
model_2971,134323.75383946
model_817,134323.828783765
model_122,134323.863453773
model_2457,134323.878606238
model_2342,134323.918730855
model_1075,150488.787639237
model_404,150488.854131857
model_2445,151113.762795879
model_714,151113.763349346
model_385,151113.766837232
model_1930,151113.790806878
model_852,151113.796104845
model_1807,151113.814974937
model_701,153219.804358118
model_1838,159601.85022626
model_1845,168140.792592593
model_767,170709.803185046
model_3151,170709.805917572
model_2614,179097.743358396
model_3095,179097.803098023
model_145,179097.813565163
model_2237,256063.822772208
model_1937,288071.816172375
model_13,inf
model_14,inf
model_36,inf
model_37,inf
model_39,inf
model_67,inf
model_91,inf
model_100,inf
model_101,inf
model_103,inf
model_115,inf
model_119,inf
model_132,inf
model_156,inf
model_158,inf
model_160,inf
model_162,inf
model_172,inf
model_179,inf
model_184,inf
model_195,inf
model_198,inf
model_208,inf
model_210,inf
model_234,inf
model_257,inf
model_265,inf
model_273,inf
model_280,inf
model_292,inf
model_300,inf
model_312,inf
model_330,inf
model_332,inf
model_341,inf
model_352,inf
model_354,inf
model_363,inf
model_364,inf
model_373,inf
model_384,inf
model_389,inf
model_398,inf
model_412,inf
model_419,inf
model_446,inf
model_454,inf
model_458,inf
model_459,inf
model_468,inf
model_469,inf
model_474,inf
model_481,inf
model_484,inf
model_487,inf
model_490,inf
model_508,inf
model_522,inf
model_545,inf
model_546,inf
model_552,inf
model_559,inf
model_566,inf
model_572,inf
model_590,inf
model_608,inf
model_613,inf
model_659,inf
model_662,inf
model_670,inf
model_673,inf
model_678,inf
model_680,inf
model_684,inf
model_697,inf
model_698,inf
model_707,inf
model_713,inf
model_716,inf
model_738,inf
model_743,inf
model_745,inf
model_750,inf
model_766,inf
model_791,inf
model_797,inf
model_799,inf
model_807,inf
model_809,inf
model_816,inf
model_821,inf
model_822,inf
model_843,inf
model_858,inf
model_861,inf
model_864,inf
model_867,inf
model_877,inf
model_879,inf
model_895,inf
model_898,inf
model_910,inf
model_911,inf
model_922,inf
model_934,inf
model_943,inf
model_944,inf
model_950,inf
model_961,inf
model_965,inf
model_967,inf
model_972,inf
model_982,inf
model_984,inf
model_995,inf
model_1014,inf
model_1019,inf
model_1044,inf
model_1045,inf
model_1070,inf
model_1083,inf
model_1096,inf
model_1101,inf
model_1115,inf
model_1121,inf
model_1143,inf
model_1166,inf
model_1170,inf
model_1179,inf
model_1180,inf
model_1199,inf
model_1222,inf
model_1224,inf
